symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl
SOL/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",24,11,13,45.83,10.18,0.42
BTC/USDT:USDT,4h,"WT,EMA,SWEEP",6,4,2,66.67,9.77,1.63
BTC/USDT:USDT,4h,"RSI,WT,EMA,SWEEP",6,4,2,66.67,9.76,1.63
SOL/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",33,17,16,51.52,9.58,0.29
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",41,21,20,51.22,9.15,0.22
SOL/USDT:USDT,15m,"RSX,WT,EMA,SWEEP",27,13,14,48.15,8.57,0.32
DOGE/USDT:USDT,1h,"RSX,WT,EMA,BOS",25,14,11,56.0,7.34,0.29
DOGE/USDT:USDT,1h,"RSI,RSX,WT,EMA",7,5,2,71.43,7.29,1.04
DOGE/USDT:USDT,1h,"RSI,RSX,WT,EMA,BOS,SWEEP",51,25,26,49.02,7.06,0.14
BTC/USDT:USDT,4h,"RSX,WT,EMA",2,2,0,100.0,6.67,3.34
BTC/USDT:USDT,4h,"RSI,RSX,WT,EMA",2,2,0,100.0,6.67,3.34
BTC/USDT:USDT,4h,"RSI,WT,EMA,BOS,SWEEP",34,17,17,50.0,6.61,0.19
BTC/USDT:USDT,4h,"WT,EMA,BOS,SWEEP",34,17,17,50.0,6.61,0.19
DOGE/USDT:USDT,5m,"RSX,WT,EMA,BOS",27,17,10,62.96,6.26,0.23
DOGE/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS",27,17,10,62.96,6.26,0.23
DOGE/USDT:USDT,5m,"WT,EMA,BOS",24,15,9,62.5,5.97,0.25
DOGE/USDT:USDT,5m,"RSI,WT,EMA,BOS",24,15,9,62.5,5.97,0.25
SOL/USDT:USDT,1h,"RSX,WT,EMA",5,4,1,80.0,5.74,1.15
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA",5,4,1,80.0,5.74,1.15
ETH/USDT:USDT,1h,"RSI,WT,EMA,SWEEP",28,11,17,39.29,5.59,0.2
ETH/USDT:USDT,1h,"WT,EMA,SWEEP",28,11,17,39.29,5.59,0.2
ETH/USDT:USDT,1h,"RSI,RSX,WT,EMA",5,3,2,60.0,5.41,1.08
SOL/USDT:USDT,1h,"RSI,RSX,WT,EMA,SWEEP",38,17,21,44.74,5.06,0.13
ETH/USDT:USDT,1h,"RSI,RSX,EMA,BOS,SWEEP",5,3,2,60.0,4.97,0.99
ETH/USDT:USDT,1h,"RSI,RSX,EMA,SWEEP",5,3,2,60.0,4.97,0.99
ETH/USDT:USDT,1h,"RSX,EMA,BOS,SWEEP",5,3,2,60.0,4.97,0.99
